Species,number,temp,Substrate,max speed,av speed,max accel,av accel,accel standstill,HN,TA,SVL,TAIL,FFOOT,LFL,UFL,HFOOT,LHL,UHL,Mass
V.mertensi,92,34.1,fld,5.043032976,4.153690697,10.41075332,10.41075332,9.497748703,131,263,402,549,45,37,37,67,43,50,758
V.mertensi,93,35.5,fld,3.246501575,2.875745721,16.73097764,16.73097764,13.44140246,124,222,341,467,37,31,32,53,47,45,435
V.mertensi,94,35.2,fld,3.348952512,2.950245279,13.03799435,8.02327065,9.710923441,159,279,472,636,49,47,40,75,52,61,1560
V.mertensi,95,37,fld,4.175274475,3.707611614,11.7626827,9.377115826,10.20949059,174,333,495,612,51,50,46,78,71,85,1970
V.mertensi,96,35.3,fld,5.408921301,4.703207896,12.85608749,8.606263651,,194,370,605,756,59,61,51,95,82,80,2900
V.mertensi,101,,fld,2.348364434,2.039071692,8.589279131,7.401642129,7.401642129,56,87,142,214,15,12,11,25,16,16,24.5
V.mertensi,104,35.5,fld,2.990580593,2.151920688,7.646739871,7.646739871,6.201694965,56,79,138,213,16,11.5,11,23,16,16,31
V.mertensi,105,34.8,fld,1.996955517,1.76136105,9.512147391,9.512147391,7.227627637,55,82,140,200,14,11,11,19,20,18,26.5
V.mertensi,116,35.3,fld,2.98088531,2.634502763,11.56096935,11.56096935,11.31745176,152,296,471,592,46,41,39,67,62,59,1940
V.mitchelli,106,,fld,3.668977226,3.240494126,13.03968117,7.806657198,12.45361863,115,221,311,495,33,25,23,50,42,39,347.5
V.mitchelli,107,,fld,3.428501625,3.154662038,11.46881384,7.844564913,11.46881384,92,156,257,429,29,19,21,41,31,34,160
V.mitchelli,109,,fld,3.163434522,3.109726223,12.04324672,8.817088341,10.98670114,83,144,222,359,27,19.5,19,39,24,24,110
V.mitchelli,110,,fld,3.113373706,2.621643339,12.84803685,9.037685773,11.45074279,73,138,210,372,21,20,16,32,23,22,70
V.mitchelli,111,,fld,3.709665574,3.19523801,12.92439797,9.032483356,11.12409102,80,169,242,436,29,24,22,40,27,31,175
V.mitchelli,112,,fld,3.463749631,3.02548027,12.57956404,10.45566302,11.27444013,81,141,224,402,27,19,20,41,24,25,140
V.mitchelli,125,37.4,sand,2.533621202,2.021720578,8.935831802,7.309033339,7.898966,59.23,109.83,163.2,313,18.51,15.94,14.37,29.23,20.28,22.12,56.65
V.panoptes,91,33.9,fld,5.369676897,4.536673906,16.73661518,9.701319997,13.29008959,126,248,375,556,36,40,44,63,60,62,609.5
V.panoptes,97,33.4,fld,5.46585343,4.02646749,20.37254751,11.18237121,19.73899524,191,391,586,740,61,62,56,85,76,74,2640
V.panoptes,119,36.1,fld,5.270917847,4.565685748,26.09387326,17.49175378,17.49175378,181,402,609,804,62,63,51,85,81,74,2570
V.panoptes,121,35.6,sand,2.131656796,1.614879285,8.369017552,5.072039147,6.968067874,58.05,98.03,156.08,249,21.45,15.86,16.3,25.81,22.44,24.53,90.1
V.panoptes,135,37.5,sand,6.126909986,4.618712271,10.51900292,8.469541692,10.17534559,105.43,192,299,480,34.54,28.21,28.86,54,46.99,42.66,385.9
V.panoptes,219,34.7,sand,4.480214956,3.874657425,15.61110513,11.05354812,13.38739306,130,270,405,555,49.85,42.7,38.19,69.74,64.59,56.29,1041.396811
V.panoptes,222,36.8,sand,4.869006625,4.437586252,19.5527362,13.46031676,19.5527362,185,448,635,0,61.68,56.8,58.74,90.8,93.5,79.79,4350
V.panoptes,223,37.3,sand,3.7031389,2.721141575,8.937504111,6.376824018,,71.99,114.71,189.87,292,20.62,19.21,17.87,33.86,30.24,27.51,101.1
V.panoptes,269,38.9,,5.541434209,4.074567668,15.65929474,12.70576138,12.80416023,144,316,453,725,53.62,47.28,49.48,84.76,65.75,74.15,1940
V.panoptes,287,35.2,fld,4.958718365,4.370548535,16.55651691,14.89807612,16.55651691,200,402,590,812,61,58,55,91.5,89.5,86,2600
V.panoptes,288,37,fld,5.698028928,4.885654289,30.32660149,20.03950232,23.25555752,200,445,625,840,61,52,58,83,92,86,2600
